country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural
angola,2011,-12.350257,13.534922,AGO.2,AGO.2.9,2.5956175327301,36,1
angola,2011,-12.360865,13.551494,AGO.2,AGO.2.9,2.20962047576904,32,1
angola,2011,-12.613421,13.413085,AGO.2,AGO.2.3,0.906468868255615,36,1
angola,2011,-12.581454,13.397711,AGO.2,AGO.2.3,1.1053591966629,35,1
angola,2011,-12.578135,13.418748,AGO.2,AGO.2.3,1.87934386730194,37,1
angola,2011,-12.575305,13.408575,AGO.2,AGO.2.3,1.74931740760803,27,1
angola,2011,-11.188879,13.838995,AGO.7,AGO.7.11,0.182361423969269,33,1
angola,2011,-11.20005,13.832946,AGO.7,AGO.7.11,0.691215991973877,30,1
angola,2011,-8.593237,13.643248,AGO.1,AGO.1.2,0.527797996997833,36,1
angola,2011,-8.583901,13.664315,AGO.1,AGO.1.2,0.891160488128662,35,1
angola,2011,-12.752814,15.742476,AGO.9,AGO.9.5,0.936776995658875,33,1
angola,2011,-12.782553,15.7543,AGO.9,AGO.9.5,-0.0526521876454353,34,1
angola,2011,-12.600115,13.200098,AGO.2,AGO.2.1,-0.073469914495945,36,0
angola,2011,-12.594752,13.202681,AGO.2,AGO.2.1,0.721672713756561,37,0
angola,2011,-12.426923,13.554357,AGO.2,AGO.2.9,-0.117268577218056,36,0
angola,2011,-12.426737,13.558511,AGO.2,AGO.2.9,0.381618529558182,37,0
angola,2011,-13.434386,14.269446,AGO.2,AGO.2.7,-1.14221024513245,37,0
angola,2011,-13.465144,14.278094,AGO.2,AGO.2.7,-0.85293048620224,37,0
angola,2011,-12.34475,14.773096,AGO.2,AGO.2.2,-0.463503241539001,37,1
angola,2011,-12.371371,14.753342,AGO.2,AGO.2.2,-1.05712330341339,37,0
angola,2011,-10.871302,14.353967,AGO.7,AGO.7.1,-1.06337440013885,37,0
angola,2011,-10.858034,14.35882,AGO.7,AGO.7.1,0.409533500671387,37,0
angola,2011,-10.419603,13.970724,AGO.7,AGO.7.7,-0.906610667705536,33,0
angola,2011,-10.390981,13.984454,AGO.7,AGO.7.7,-1.17829394340515,23,0
angola,2011,-11.537386,14.726956,AGO.7,AGO.7.10,-1.04396414756775,28,0
angola,2011,-11.517536,14.75472,AGO.7,AGO.7.10,-1.1313544511795,26,0
